TaskName,Variant,InputSize,MedianMs,MeanMs,MinMs,MaxMs,StdDevMs,CvPercent,SpeedupVsSequential,SpeedupVsParallel1,IsValid
GameOfLife,ILGPU_Cuda,2000,22.5536,22.1085,19.8625,25.7459,1.7240,7.80,1020.6981,1021.5671,True
GameOfLife,Parallel_1,2000,23040.0166,23039.2443,23025.3570,23047.2026,6.9472,0.03,0.9991,1.0000,True
GameOfLife,Parallel_12,2000,3871.2269,3870.9871,3868.6729,3874.6672,1.7569,0.05,5.9465,5.9516,True
GameOfLife,Parallel_2,2000,11543.5629,11548.2704,11527.9912,11568.4330,12.6586,0.11,1.9942,1.9959,True
GameOfLife,Parallel_4,2000,5797.4109,5800.3821,5785.1044,5822.6143,12.2534,0.21,3.9708,3.9742,True
GameOfLife,Parallel_6,2000,3993.6733,3982.5697,3950.6455,4017.9616,22.0802,0.55,5.7642,5.7691,True
GameOfLife,Parallel_8,2000,4015.6961,4012.4978,3989.8703,4035.4793,12.7930,0.32,5.7326,5.7375,True
GameOfLife,Sequential,2000,23020.4162,23021.6261,23005.7762,23040.2082,9.3216,0.04,1.0000,1.0009,True
GameOfLife,GPU_ComputeSharp,5000,166.6286,167.2305,162.0081,175.2511,4.1162,2.46,863.1134,863.8148,True
GameOfLife,ILGPU_Cuda,5000,98.4680,98.6922,93.8893,104.5562,2.4124,2.44,1460.5693,1461.7561,True
GameOfLife,Parallel_1,5000,143936.2042,143941.0248,143915.6142,143971.2560,22.9700,0.02,0.9992,1.0000,True
GameOfLife,Parallel_12,5000,23919.0871,23917.6229,23903.0044,23935.4329,8.5062,0.04,6.0127,6.0176,True
GameOfLife,Parallel_2,5000,72047.9936,72051.9124,72009.5944,72098.1492,36.2584,0.05,1.9962,1.9978,True
GameOfLife,Parallel_4,5000,36225.0036,36229.4369,36199.2883,36262.0779,22.6025,0.06,3.9702,3.9734,True
GameOfLife,Parallel_6,5000,24772.6544,24771.9806,24707.1074,24879.4613,56.9758,0.23,5.8056,5.8103,True
GameOfLife,Parallel_8,5000,24562.2952,24563.9871,24480.5507,24633.6398,36.2015,0.15,5.8553,5.8600,True
GameOfLife,Sequential,5000,143819.3343,143810.3873,143782.7646,143829.0630,19.9319,0.01,1.0000,1.0008,True
GameOfLife,GPU_ComputeSharp,10000,788.8117,803.5682,734.7161,899.8424,56.2430,7.00,729.3338,730.2262,True
GameOfLife,ILGPU_Cuda,10000,368.4685,368.6610,362.8574,375.8269,4.0477,1.10,1561.3467,1563.2571,True
GameOfLife,Parallel_1,10000,576010.9071,575943.1063,575674.2055,576144.2064,197.7758,0.03,0.9988,1.0000,True
GameOfLife,Parallel_12,10000,95332.6156,95324.4496,95295.8399,95344.8933,20.8418,0.02,6.0347,6.0421,True
GameOfLife,Parallel_2,10000,288133.5518,288174.4474,288131.7981,288257.9923,59.0795,0.02,1.9967,1.9991,True
GameOfLife,Parallel_4,10000,144486.8096,144503.5077,144442.1456,144581.5679,58.1307,0.04,3.9817,3.9866,True
GameOfLife,Parallel_6,10000,98594.7077,98616.9981,98538.6645,98717.6222,74.7400,0.08,5.8351,5.8422,True
GameOfLife,Parallel_8,10000,97676.1484,97736.0357,97617.7515,97914.2071,128.2221,0.13,5.8899,5.8972,True
GameOfLife,Sequential,10000,575307.0140,575285.1897,575240.7288,575307.8264,31.4404,0.01,1.0000,1.0012,True
MatrixMultiply,GPU_ComputeSharp,64,2.2041,2.2393,2.1597,2.4035,0.0820,3.66,0.0876,0.2624,True
MatrixMultiply,ILGPU_Cuda,64,3.0383,3.0624,2.9452,3.1882,0.0785,2.56,0.0635,0.1904,True
MatrixMultiply,Parallel_1,64,0.5784,0.5833,0.5702,0.6153,0.0146,2.51,0.3337,1.0000,True
MatrixMultiply,Parallel_12,64,0.1895,0.1920,0.1732,0.2233,0.0178,9.26,1.0182,3.0517,True
MatrixMultiply,Parallel_2,64,0.3017,0.3089,0.2965,0.3567,0.0178,5.75,0.6396,1.9170,True
MatrixMultiply,Parallel_4,64,0.1924,0.1971,0.1866,0.2206,0.0116,5.89,1.0031,3.0065,True
MatrixMultiply,Parallel_6,64,0.1904,0.1954,0.1826,0.2300,0.0147,7.54,1.0139,3.0389,True
MatrixMultiply,Parallel_8,64,0.1913,0.1935,0.1794,0.2198,0.0128,6.62,1.0092,3.0246,True
MatrixMultiply,Sequential,64,0.1930,0.1939,0.1924,0.1988,0.0020,1.01,1.0000,2.9972,True
MatrixMultiply,GPU_ComputeSharp,128,2.3879,2.4341,2.1650,2.6933,0.1682,6.91,0.9663,1.1900,True
MatrixMultiply,ILGPU_Cuda,128,3.1764,3.2380,3.0474,3.8553,0.2339,7.22,0.7264,0.8946,True
MatrixMultiply,Parallel_1,128,2.8415,2.8448,2.8177,2.8856,0.0221,0.78,0.8121,1.0000,True
MatrixMultiply,Parallel_12,128,0.6080,0.6261,0.5816,0.8188,0.0658,10.51,3.7951,4.6735,True
MatrixMultiply,Parallel_2,128,1.4627,1.5118,1.4325,1.6936,0.0942,6.23,1.5776,1.9427,True
MatrixMultiply,Parallel_4,128,0.7516,0.7649,0.7448,0.8725,0.0365,4.77,3.0698,3.7803,True
MatrixMultiply,Parallel_6,128,0.5361,0.5682,0.5223,0.8585,0.0971,17.08,4.3041,5.3003,True
MatrixMultiply,Parallel_8,128,0.6453,0.6523,0.6241,0.7038,0.0239,3.66,3.5758,4.4034,True
MatrixMultiply,Sequential,128,2.3075,2.3080,2.2856,2.3342,0.0180,0.78,1.0000,1.2314,True
MatrixMultiply,GPU_ComputeSharp,256,3.0473,3.0809,2.6947,3.6435,0.2453,7.96,5.8994,6.0055,True
MatrixMultiply,ILGPU_Cuda,256,3.2781,3.2777,3.1590,3.4199,0.0681,2.08,5.4841,5.5826,True
MatrixMultiply,Parallel_1,256,18.3005,18.3141,18.0616,18.8273,0.1952,1.07,0.9823,1.0000,True
MatrixMultiply,Parallel_12,256,4.1464,4.1501,3.5422,4.6405,0.3449,8.31,4.3356,4.4136,True
MatrixMultiply,Parallel_2,256,9.2296,9.2276,9.0273,9.4405,0.1373,1.49,1.9478,1.9828,True
MatrixMultiply,Parallel_4,256,4.7300,5.3050,4.6542,6.9054,0.7818,14.74,3.8007,3.8690,True
MatrixMultiply,Parallel_6,256,4.1348,4.2028,3.9154,5.0688,0.3295,7.84,4.3479,4.4260,True
MatrixMultiply,Parallel_8,256,4.1141,4.1676,3.9890,4.7747,0.2200,5.28,4.3697,4.4482,True
MatrixMultiply,Sequential,256,17.9773,18.3498,16.7871,21.4786,1.4139,7.71,1.0000,1.0180,True
MatrixMultiply,GPU_ComputeSharp,512,3.6033,3.6702,3.4092,4.2498,0.2390,6.51,51.8073,55.7813,True
MatrixMultiply,ILGPU_Cuda,512,4.1128,4.1038,3.7049,4.3357,0.1467,3.57,45.3894,48.8711,True
MatrixMultiply,Parallel_1,512,200.9997,200.3762,196.4850,203.4093,2.5091,1.25,0.9288,1.0000,True
MatrixMultiply,Parallel_12,512,36.8962,37.3975,36.2631,39.8575,1.2003,3.21,5.0596,5.4477,True
MatrixMultiply,Parallel_2,512,107.2805,108.8476,100.5369,119.2520,5.8629,5.39,1.7401,1.8736,True
MatrixMultiply,Parallel_4,512,66.0991,65.0611,60.6043,69.0282,3.2693,5.02,2.8242,3.0409,True
MatrixMultiply,Parallel_6,512,50.7778,51.5773,48.1383,55.8864,2.2260,4.32,3.6764,3.9584,True
MatrixMultiply,Parallel_8,512,44.9465,45.0297,42.6896,46.6445,1.0548,2.34,4.1534,4.4720,True
MatrixMultiply,Sequential,512,186.6798,186.5432,181.1308,190.0586,2.6048,1.40,1.0000,1.0767,True
MatrixMultiply,GPU_ComputeSharp,1024,29.3191,29.2986,27.6722,30.9601,1.0699,3.65,179.9023,138.2868,True
MatrixMultiply,ILGPU_Cuda,1024,8.1816,8.2368,7.6331,8.9359,0.4624,5.61,644.6873,495.5565,True
MatrixMultiply,Parallel_1,1024,4054.4453,3991.7051,3774.0020,4073.6564,112.6398,2.82,1.3009,1.0000,True
MatrixMultiply,Parallel_12,1024,359.3465,361.7080,341.6475,383.2396,13.1027,3.62,14.6782,11.2828,True
MatrixMultiply,Parallel_2,1024,1819.0844,1843.9382,1778.8130,1966.2860,63.5924,3.45,2.8996,2.2288,True
MatrixMultiply,Parallel_4,1024,909.4679,915.6139,890.8867,986.3774,26.0559,2.85,5.7996,4.4580,True
MatrixMultiply,Parallel_6,1024,606.0593,610.8793,582.7134,650.7729,18.9117,3.10,8.7031,6.6898,True
MatrixMultiply,Parallel_8,1024,489.2421,493.2540,474.8583,536.6053,16.5626,3.36,10.7811,8.2872,True
MatrixMultiply,Sequential,1024,5274.5733,5207.0434,4940.2059,5415.6528,186.9593,3.59,1.0000,0.7687,True
MatrixMultiply,GPU_ComputeSharp,2048,49.4869,48.7149,38.4057,52.3029,3.5877,7.36,1396.4603,914.5064,True
MatrixMultiply,ILGPU_Cuda,2048,34.5889,36.4656,32.9380,50.5878,4.1438,11.36,1997.9393,1308.3997,True
MatrixMultiply,Parallel_1,2048,45256.0417,52178.8674,39792.7650,84929.4717,16520.4269,31.66,1.5270,1.0000,True
MatrixMultiply,Parallel_12,2048,7674.9618,12814.3324,7324.3953,21167.9379,6501.5318,50.74,9.0041,5.8966,True
MatrixMultiply,Parallel_2,2048,22501.6115,21597.2901,19905.6444,23071.4176,1384.3277,6.41,3.0712,2.0112,True
MatrixMultiply,Parallel_4,2048,11656.0676,14542.9268,9970.4753,27878.0560,6647.6953,45.71,5.9288,3.8826,True
MatrixMultiply,Parallel_6,2048,8283.7097,12128.7455,7166.6044,22125.5192,6414.1578,52.88,8.3424,5.4633,True
MatrixMultiply,Parallel_8,2048,7962.6699,11429.5274,7165.0227,20158.7741,5656.5295,49.49,8.6788,5.6835,True
MatrixMultiply,Sequential,2048,69106.4236,62942.7280,43817.4303,75904.3302,13805.4493,21.93,1.0000,0.6549,True
MatrixMultiply,GPU_ComputeSharp,4096,223.9637,228.0852,218.3916,252.3830,9.8246,4.31,6534.3630,2854.9503,True
MatrixMultiply,ILGPU_Cuda,4096,640.3316,640.8017,628.9046,647.4019,5.2905,0.83,2285.4723,998.5533,True
MatrixMultiply,Parallel_1,4096,639405.2371,663842.4855,551777.9272,800344.2922,102937.5014,15.51,2.2888,1.0000,True
MatrixMultiply,Parallel_12,4096,144040.8587,148448.9315,123033.4568,178272.4789,22765.6279,15.34,10.1600,4.4391,True
MatrixMultiply,Parallel_2,4096,400062.5547,395674.5519,338231.7175,448729.3834,45217.0651,11.43,3.6581,1.5983,True
MatrixMultiply,Parallel_4,4096,245440.6748,220648.9538,156393.8020,260112.3847,45828.3622,20.77,5.9626,2.6051,True
MatrixMultiply,Parallel_6,4096,142599.6797,148211.8858,119313.3915,182722.5863,26189.1089,17.67,10.2627,4.4839,True
MatrixMultiply,Parallel_8,4096,184262.9528,185903.0323,177052.7036,196393.4404,7980.5355,4.29,7.9422,3.4701,True
MatrixMultiply,Sequential,4096,1463460.1064,1410893.3045,1247193.4404,1522026.3667,118196.8297,8.38,1.0000,0.4369,True
