TaskName,InputSize,Variant,MedianMs,SpeedupVsParallel1,OverheadPercentVsParallel1,IsValid
GameOfLife,8,Parallel_6,0.6848,1.0836,-7.7151,True
GameOfLife,12,Parallel_6,0.7350,2.0781,-51.8789,True
GameOfLife,16,Parallel_6,0.8669,1.7257,-42.0516,True
GameOfLife,24,Parallel_6,1.3228,2.5277,-60.4376,True
GameOfLife,32,Parallel_6,1.8277,3.2562,-69.2893,True
GameOfLife,64,Parallel_6,5.8301,4.0500,-75.3084,True
GameOfLife,100,Parallel_6,13.3173,4.3793,-77.1654,True
GameOfLife,150,Parallel_6,23.1657,5.5977,-82.1354,True
GameOfLife,250,Parallel_6,66.3096,5.4477,-81.6437,True
GameOfLife,500,Parallel_6,248.5260,5.7945,-82.7424,True
GameOfLife,8,ILGPU_Cuda,4.3413,0.1709,485.0414,True
GameOfLife,8,GPU_ComputeSharp,9.0019,0.0824,1113.1123,True
GameOfLife,12,GPU_ComputeSharp,8.3750,0.1824,448.2815,True
GameOfLife,24,GPU_ComputeSharp,8.4256,0.3968,152.0032,True
GameOfLife,100,GPU_ComputeSharp,8.4025,6.9409,-85.5926,True
GameOfLife,150,GPU_ComputeSharp,8.6250,15.0347,-93.3487,True
GameOfLife,12,Sequential,0.8508,1.7954,-44.3011,True
GameOfLife,12,ILGPU_Cuda,4.2837,0.3566,180.4386,True
GameOfLife,24,ILGPU_Cuda,4.4073,0.7586,31.8189,True
GameOfLife,100,ILGPU_Cuda,4.3355,13.4519,-92.5661,True
GameOfLife,150,ILGPU_Cuda,4.3747,29.6414,-96.6263,True
GameOfLife,500,ILGPU_Cuda,5.2603,273.7694,-99.6347,True
GameOfLife,500,GPU_ComputeSharp,16.8497,85.4674,-98.8300,True
GameOfLife,16,Sequential,1.4836,1.0083,-0.8256,True
GameOfLife,16,ILGPU_Cuda,4.4806,0.3339,199.5287,True
GameOfLife,16,GPU_ComputeSharp,8.8679,0.1687,492.8103,True
GameOfLife,24,Sequential,3.3830,0.9883,1.1844,True
GameOfLife,32,Sequential,6.1576,0.9665,3.4656,True
GameOfLife,32,Parallel_1,5.9513,1.0000,0.0000,True
GameOfLife,32,Parallel_8,1.8588,3.2018,-68.7676,True
GameOfLife,32,ILGPU_Cuda,4.4228,1.3456,-25.6841,True
GameOfLife,32,GPU_ComputeSharp,9.0656,0.6565,52.3293,True
GameOfLife,64,Sequential,23.5724,1.0017,-0.1667,True
GameOfLife,64,Parallel_1,23.6117,1.0000,0.0000,True
GameOfLife,64,Parallel_8,6.3935,3.6931,-72.9223,True
GameOfLife,64,ILGPU_Cuda,4.5128,5.2322,-80.8874,True
GameOfLife,64,GPU_ComputeSharp,8.8138,2.6789,-62.6719,True
GameOfLife,8,Parallel_12,0.7028,1.0558,-5.2894,True
GameOfLife,12,Parallel_12,0.7065,2.1622,-53.7512,True
GameOfLife,16,Parallel_12,0.9848,1.5191,-34.1701,True
GameOfLife,24,Parallel_12,1.3949,2.3969,-58.2796,True
GameOfLife,32,Parallel_12,1.8949,3.1407,-68.1602,True
GameOfLife,64,Parallel_12,6.3596,3.7128,-73.0659,True
GameOfLife,100,Sequential,59.4509,0.9810,1.9379,True
GameOfLife,100,Parallel_1,58.3207,1.0000,0.0000,True
GameOfLife,100,Parallel_4,15.7067,3.7131,-73.0684,True
GameOfLife,100,Parallel_8,14.5005,4.0220,-75.1366,True
GameOfLife,150,Sequential,132.7578,0.9768,2.3783,True
GameOfLife,150,Parallel_1,129.6738,1.0000,0.0000,True
GameOfLife,150,Parallel_2,65.6525,1.9752,-49.3710,True
GameOfLife,150,Parallel_8,28.2279,4.5938,-78.2316,True
GameOfLife,250,Sequential,365.1025,0.9894,1.0703,True
GameOfLife,250,Parallel_1,361.2363,1.0000,0.0000,True
GameOfLife,250,Parallel_2,181.5139,1.9901,-49.7520,True
GameOfLife,250,Parallel_4,94.0452,3.8411,-73.9657,True
GameOfLife,250,Parallel_8,80.4202,4.4919,-77.7375,True
GameOfLife,250,ILGPU_Cuda,4.3159,83.6980,-98.8052,True
GameOfLife,250,GPU_ComputeSharp,9.1366,39.5373,-97.4707,True
GameOfLife,500,Sequential,1438.0792,1.0014,-0.1400,True
GameOfLife,500,Parallel_1,1440.0956,1.0000,0.0000,True
GameOfLife,500,Parallel_2,725.9457,1.9838,-49.5905,True
GameOfLife,500,Parallel_4,372.4098,3.8670,-74.1399,True
GameOfLife,500,Parallel_8,276.5828,5.2067,-80.7941,True
GameOfLife,100,Parallel_12,13.1110,4.4482,-77.5192,True
GameOfLife,150,Parallel_12,26.5521,4.8837,-79.5239,True
GameOfLife,250,Parallel_12,72.4433,4.9865,-79.9457,True
GameOfLife,500,Parallel_12,257.5360,5.5918,-82.1167,True
GameOfLife,1000,Sequential,5750.2274,1.0013,-0.1294,True
GameOfLife,1000,Parallel_1,5757.6798,1.0000,0.0000,True
GameOfLife,1000,Parallel_2,2883.9720,1.9964,-49.9109,True
GameOfLife,1000,Parallel_4,1453.8178,3.9604,-74.7499,True
GameOfLife,1000,Parallel_6,1003.5978,5.7370,-82.5694,True
GameOfLife,1000,Parallel_8,1022.0214,5.6336,-82.2494,True
GameOfLife,1000,Parallel_12,971.2740,5.9280,-83.1308,True
GameOfLife,1000,ILGPU_Cuda,8.3563,689.0185,-99.8549,True
GameOfLife,1000,GPU_ComputeSharp,50.5379,113.9280,-99.1223,True
GameOfLife,2000,Sequential,23020.4162,1.0009,-0.0851,True
GameOfLife,2000,Parallel_1,23040.0166,1.0000,0.0000,True
GameOfLife,2000,Parallel_2,11543.5629,1.9959,-49.8978,True
GameOfLife,2000,Parallel_4,5797.4109,3.9742,-74.8376,True
GameOfLife,2000,Parallel_6,3993.6733,5.7691,-82.6664,True
GameOfLife,2000,Parallel_8,4015.6961,5.7375,-82.5708,True
GameOfLife,2000,Parallel_12,3871.2269,5.9516,-83.1978,True
GameOfLife,2000,ILGPU_Cuda,22.5536,1021.5671,-99.9021,True
GameOfLife,2000,GPU_ComputeSharp,38.2742,601.9733,-99.8339,True
GameOfLife,5000,Sequential,143819.3343,1.0008,-0.0812,True
GameOfLife,5000,Parallel_1,143936.2042,1.0000,0.0000,True
GameOfLife,5000,Parallel_2,72047.9936,1.9978,-49.9445,True
GameOfLife,5000,Parallel_4,36225.0036,3.9734,-74.8326,True
GameOfLife,5000,Parallel_6,24772.6544,5.8103,-82.7891,True
GameOfLife,5000,Parallel_8,24562.2952,5.8600,-82.9353,True
GameOfLife,5000,Parallel_12,23919.0871,6.0176,-83.3822,True
GameOfLife,5000,ILGPU_Cuda,98.4680,1461.7561,-99.9316,True
GameOfLife,5000,GPU_ComputeSharp,166.6286,863.8148,-99.8842,True
GameOfLife,10000,Sequential,575307.0140,1.0012,-0.1222,True
GameOfLife,10000,Parallel_1,576010.9071,1.0000,0.0000,True
GameOfLife,10000,Parallel_2,288133.5518,1.9991,-49.9778,True
GameOfLife,10000,Parallel_4,144486.8096,3.9866,-74.9160,True
GameOfLife,10000,Parallel_6,98594.7077,5.8422,-82.8832,True
GameOfLife,10000,Parallel_8,97676.1484,5.8972,-83.0427,True
GameOfLife,10000,Parallel_12,95332.6156,6.0421,-83.4495,True
GameOfLife,10000,ILGPU_Cuda,368.4685,1563.2571,-99.9360,True
GameOfLife,10000,GPU_ComputeSharp,788.8117,730.2262,-99.8631,True
